difficulty,algorithm,p_value,holm_adj_p,holm_sig
easy,sklearn_LOF,1.1076151546135735e-10,2.3259918246885044e-09,***
easy,MemStream_,1.1076151546135735e-10,2.215230309227147e-09,***
easy,sHST_River,1.1076151546135735e-10,2.10446879376579e-09,***
easy,IForestASD_,1.3927191113816006e-06,9.749033779671205e-06,***
easy,sHST_Mem_Ensemble,1.1076151546135735e-10,1.9937072783044324e-09,***
easy,CADIFEia,0.26155411110003735,0.784662333300112,
easy,HBOS,4.807540089370922e-10,5.288294098308015e-09,***
medium,sklearn_LOF,1.1076151546135735e-10,1.882945762843075e-09,***
medium,MemStream_,1.1076151546135735e-10,1.550661216459003e-09,***
medium,sHST_River,5.776907564607826e-09,5.199216808147043e-08,***
medium,IForestASD_,1.047559177271991e-05,6.285355063631946e-05,***
medium,sHST_Mem_Ensemble,1.1076151546135735e-10,1.6614227319203604e-09,***
medium,CADIFEia,0.8340862658182717,0.8340862658182717,
medium,HBOS,0.00011614084153438883,0.0004645633661375553,***
hard,sklearn_LOF,1.1076151546135735e-10,1.7721842473817176e-09,***
hard,MemStream_,1.7201036879269345e-10,2.236134794305015e-09,***
hard,sHST_River,0.00011222763555529602,0.0005611381777764801,***
hard,IForestASD_,4.6864705426551305e-08,3.7491764341241044e-07,***
hard,sHST_Mem_Ensemble,1.7201036879269345e-10,2.0641244255123216e-09,***
hard,CADIFEia,0.471183258755855,0.94236651751171,
hard,HBOS,1.063454618985788e-09,1.063454618985788e-08,***
