Difficulty,Rank,Algorithm,AUC-PR,AUC-PR_mean,AUC-PR_std
easy,1,sklearn_LOF,0.5009 ± 0.0001,0.5008720454545454,6.197761489016605e-05
easy,2,sHST_Mem_Ensemble,0.4242 ± 0.0477,0.4242274244054968,0.047665802472305736
easy,3,MemStream_,0.4242 ± 0.0477,0.42417556844601934,0.04770885766266195
easy,4,HBOS,0.2834 ± 0.0505,0.2834431375943717,0.05046751542166751
easy,5,CADIFEia,0.1537 ± 0.0668,0.15365547609608612,0.0668028651320844
easy,6,sklearn_IF,0.1423 ± 0.0832,0.14233210235554858,0.08318674331419287
easy,7,IForestASD_,0.0685 ± 0.0692,0.06852296971234675,0.0692484492076959
easy,8,sHST_River,0.0085 ± 0.0102,0.00850422739203356,0.010248857611674878
medium,1,sklearn_LOF,0.5009 ± 0.0001,0.5008945454545455,0.00010021284167393383
medium,2,MemStream_,0.1100 ± 0.0345,0.10999786956156297,0.03447339678810157
medium,3,sHST_Mem_Ensemble,0.1099 ± 0.0344,0.10990123432005376,0.03437688141059206
medium,4,HBOS,0.0347 ± 0.0161,0.03468679611200639,0.016083238200069464
medium,5,CADIFEia,0.0299 ± 0.0148,0.02990984387229731,0.014812485092243156
medium,6,sklearn_IF,0.0294 ± 0.0175,0.029406779328059362,0.017505555519194544
medium,7,IForestASD_,0.0162 ± 0.0222,0.016205693677237325,0.02217763155248889
medium,8,sHST_River,0.0076 ± 0.0091,0.007591541373429853,0.009051759020109086
hard,1,sklearn_LOF,0.5009 ± 0.0001,0.5008636363636364,6.102295064196651e-05
hard,2,MemStream_,0.0211 ± 0.0081,0.02106018012109207,0.008136304948029954
hard,3,sHST_Mem_Ensemble,0.0210 ± 0.0081,0.021022037648015374,0.008112273396105967
hard,4,sklearn_IF,0.0098 ± 0.0079,0.009806618811175043,0.007882755498499566
hard,5,CADIFEia,0.0091 ± 0.0033,0.009139888789120212,0.003280595882790094
hard,6,HBOS,0.0070 ± 0.0038,0.007001787023363618,0.003831135941346535
hard,7,sHST_River,0.0056 ± 0.0061,0.005580007259997511,0.006109200214679086
hard,8,IForestASD_,0.0047 ± 0.0091,0.004719516768039858,0.009057346198038966
