algorithm,difficulty,AUC_ROC_mean,AUC_ROC_std,AUC_PR_mean,AUC_PR_std,F1_mean,F1_std
CADIFEia,easy,0.9716,0.0063,0.1537,0.0668,0.2202,0.0433
CADIFEia,hard,0.8767,0.0216,0.0091,0.0033,0.0222,0.0085
CADIFEia,medium,0.9409,0.0134,0.0299,0.0148,0.0569,0.0187
HBOS,easy,0.9362,0.0137,0.2834,0.0505,0.3084,0.0207
HBOS,hard,0.753,0.0354,0.007,0.0038,0.0347,0.0139
HBOS,medium,0.8532,0.0256,0.0347,0.0161,0.0969,0.0239
IForestASD_,easy,0.8878,0.0587,0.0685,0.0692,0.0812,0.05
IForestASD_,hard,0.5672,0.1651,0.0047,0.0091,0.0113,0.012
IForestASD_,medium,0.7792,0.1083,0.0162,0.0222,0.0292,0.0198
MemStream_,easy,0.9814,0.0073,0.4242,0.0477,0.3557,0.0214
MemStream_,hard,0.8949,0.0466,0.0211,0.0081,0.0655,0.0199
MemStream_,medium,0.9575,0.0189,0.11,0.0345,0.1938,0.0413
sHST_Mem_Ensemble,easy,0.9814,0.0073,0.4242,0.0477,0.3556,0.0213
sHST_Mem_Ensemble,hard,0.8949,0.0456,0.021,0.0081,0.0653,0.02
sHST_Mem_Ensemble,medium,0.9574,0.0186,0.1099,0.0344,0.1935,0.0412
sHST_River,easy,0.8062,0.0878,0.0085,0.0102,0.0215,0.0239
sHST_River,hard,0.7332,0.0986,0.0056,0.0061,0.0134,0.0143
sHST_River,medium,0.7846,0.0949,0.0076,0.0091,0.0191,0.0216
sklearn_IF,easy,0.9684,0.006,0.1423,0.0832,0.1906,0.0539
sklearn_IF,hard,0.8662,0.0245,0.0098,0.0079,0.0212,0.0111
sklearn_IF,medium,0.9348,0.011,0.0294,0.0175,0.0498,0.0205
sklearn_LOF,easy,0.5,0.0,0.5009,0.0001,0.0035,0.0002
sklearn_LOF,hard,0.5,0.0,0.5009,0.0001,0.0034,0.0002
sklearn_LOF,medium,0.5,0.0,0.5009,0.0001,0.0036,0.0004
