algorithm,difficulty,mean,std
CADIFEia,easy,0.1537,0.0668
CADIFEia,hard,0.0091,0.0033
CADIFEia,medium,0.0299,0.0148
HBOS,easy,0.2834,0.0505
HBOS,hard,0.007,0.0038
HBOS,medium,0.0347,0.0161
IForestASD_,easy,0.0685,0.0692
IForestASD_,hard,0.0047,0.0091
IForestASD_,medium,0.0162,0.0222
MemStream_,easy,0.4242,0.0477
MemStream_,hard,0.0211,0.0081
MemStream_,medium,0.11,0.0345
sHST_Mem_Ensemble,easy,0.4242,0.0477
sHST_Mem_Ensemble,hard,0.021,0.0081
sHST_Mem_Ensemble,medium,0.1099,0.0344
sHST_River,easy,0.0085,0.0102
sHST_River,hard,0.0056,0.0061
sHST_River,medium,0.0076,0.0091
sklearn_IF,easy,0.1423,0.0832
sklearn_IF,hard,0.0098,0.0079
sklearn_IF,medium,0.0294,0.0175
sklearn_LOF,easy,0.5009,0.0001
sklearn_LOF,hard,0.5009,0.0001
sklearn_LOF,medium,0.5009,0.0001
