difficulty,algorithm,ctrl_mean,algo_mean,improvement,p_value,cliffs_delta,holm_adj,significant
easy,MemStream_,0.14233210235554855,0.4241755684460192,0.2818434660904707,1.1076151546135735e-10,0.9867768595041322,1.9937072783044324e-09,***
easy,sHST_River,0.14233210235554855,0.00850422739203356,-0.133827874963515,1.1076151546135735e-10,-0.9953719008264463,1.882945762843075e-09,***
easy,sHST_Mem_Ensemble,0.14233210235554855,0.4242274244054968,0.28189532204994827,1.1076151546135735e-10,0.9867768595041322,1.7721842473817176e-09,***
medium,MemStream_,0.02940677932805936,0.109997869561563,0.08059109023350364,1.1076151546135735e-10,0.9504132231404959,1.6614227319203604e-09,***
medium,sHST_Mem_Ensemble,0.02940677932805936,0.10990123432005376,0.0804944549919944,1.1076151546135735e-10,0.9504132231404959,1.550661216459003e-09,***
hard,MemStream_,0.009806618811175038,0.021060180121092068,0.01125356130991703,1.7201036879269345e-10,0.8082644628099174,1.550661216459003e-09,***
hard,sHST_Mem_Ensemble,0.009806618811175038,0.021022037648015378,0.01121541883684034,1.7201036879269345e-10,0.8082644628099174,1.550661216459003e-09,***
easy,HBOS,0.14233210235554855,0.2834431375943716,0.14111103523882307,4.807540089370922e-10,0.8214876033057851,1.550661216459003e-09,***
hard,HBOS,0.009806618811175038,0.00700178702336362,-0.0028048317878114183,1.063454618985788e-09,-0.4677685950413223,1.550661216459003e-09,***
medium,sHST_River,0.02940677932805936,0.007591541373429852,-0.021815237954629505,5.776907564607826e-09,-0.860495867768595,1.550661216459003e-09,***
hard,IForestASD_,0.009806618811175038,0.004719516768039859,-0.005087102043135179,4.6864705426551305e-08,-0.80099173553719,1.550661216459003e-09,***
easy,IForestASD_,0.14233210235554855,0.06852296971234675,-0.0738091326432018,1.3927191113816006e-06,-0.5907438016528925,1.550661216459003e-09,***
medium,IForestASD_,0.02940677932805936,0.016205693677237322,-0.013201085650822036,1.047559177271991e-05,-0.6409917355371901,1.550661216459003e-09,***
hard,sHST_River,0.009806618811175038,0.00558000725999751,-0.004226611551177528,0.00011222763555529602,-0.6793388429752066,1.550661216459003e-09,***
medium,HBOS,0.02940677932805936,0.03468679611200639,0.005280016783947031,0.00011614084153438883,0.2793388429752066,1.550661216459003e-09,***
easy,CADIFEia,0.14233210235554855,0.1536554760960861,0.011323373740537546,0.26155411110003735,0.15239669421487603,1.550661216459003e-09,***
hard,CADIFEia,0.009806618811175038,0.009139888789120212,-0.0006667300220548258,0.471183258755855,0.23107438016528925,1.550661216459003e-09,***
medium,CADIFEia,0.02940677932805936,0.029909843872297313,0.0005030645442379543,0.8340862658182717,0.07371900826446282,1.550661216459003e-09,***
