algorithm,difficulty,delta,p_wilcoxon,sig
CA-DIF-EIA,easy,0.031399195216281206,5.960464477539063e-08,***
CA-DIF-EIA,medium,0.05589524406580071,5.960464477539063e-08,***
CA-DIF-EIA,hard,0.058533620476017956,5.960464477539063e-08,***
METER-SCD,easy,0.031982662496777614,5.960464477539063e-08,***
METER-SCD,medium,0.05622250079791902,5.960464477539063e-08,***
METER-SCD,hard,0.05884281228430244,5.960464477539063e-08,***
sklearn_IF,easy,0.03045091721681914,5.960464477539063e-08,***
sklearn_IF,medium,0.05355946438574977,5.960464477539063e-08,***
sklearn_IF,hard,0.05975796509322495,5.960464477539063e-08,***
