algorithm,difficulty,avg_rank,std_rank,cd
sHST-River,easy,3.0,0.0,2.227402672770837
MemStream,easy,2.0,0.0,2.227402672770837
IForestASD,easy,4.0,0.0,2.227402672770837
sHST-Mem-Ens,easy,1.0,0.0,2.227402672770837
sHST-River,medium,1.4,0.8000000000000002,2.227402672770837
MemStream,medium,1.8,0.4000000000000001,2.227402672770837
IForestASD,medium,4.0,0.0,2.227402672770837
sHST-Mem-Ens,medium,2.8,0.39999999999999997,2.227402672770837
sHST-River,hard,1.0,0.0,2.227402672770837
MemStream,hard,2.0,0.0,2.227402672770837
IForestASD,hard,4.0,0.0,2.227402672770837
sHST-Mem-Ens,hard,3.0,0.0,2.227402672770837
